HBA,HBA Mole Fraction,HBD,"Pressure, kPa","Temperature, K","Viscosity, Pa&#8226;s"
tetrabutylammonium chloride,0.667,triethylene glycol,101,313.15,0.95
tetrabutylammonium chloride,0.75,triethylene glycol,101,313.15,7.032
tetrabutylammonium chloride,0.8,triethylene glycol,101,313.15,1.9
tetrabutylammonium chloride,0.5,triethylene glycol,101,323.15,0.166
tetrabutylammonium chloride,0.667,triethylene glycol,101,323.15,0.493
tetrabutylammonium chloride,0.75,triethylene glycol,101,323.15,0.91
tetrabutylammonium chloride,0.8,triethylene glycol,101,323.15,0.863
tetrabutylammonium chloride,0.5,triethylene glycol,101,333.15,0.101
tetrabutylammonium chloride,0.667,triethylene glycol,101,333.15,0.264
tetrabutylammonium chloride,0.75,triethylene glycol,101,333.15,0.452
tetrabutylammonium chloride,0.8,triethylene glycol,101,333.15,0.411
tetrabutylammonium chloride,0.5,triethylene glycol,101,343.15,0.0681
tetrabutylammonium chloride,0.667,triethylene glycol,101,343.15,0.154
tetrabutylammonium chloride,0.75,triethylene glycol,101,343.15,0.245
tetrabutylammonium chloride,0.8,triethylene glycol,101,343.15,0.204
tetrabutylammonium chloride,0.5,triethylene glycol,101,353.15,0.0447
tetrabutylammonium chloride,0.667,triethylene glycol,101,353.15,0.0913
tetrabutylammonium chloride,0.75,triethylene glycol,101,353.15,0.156
tetrabutylammonium chloride,0.8,triethylene glycol,101,353.15,0.1
